bank_txn_ref,posting_date,value_date,amount,currency,debit_credit,narration,bank_branch,source_system,fees_deducted
BK-fe8cb710f0,2024-01-07,2024-01-07,26137.02,KES,CR,CASH DEP 24783,BBR02,CASH,201.24
BK-19b048967e,2024-01-25,2024-01-25,12489.2,KES,CR,M-PESA PAY 26033,BBR01,MPESA,25.33
BK-f97856ce5d,2024-03-30,2024-03-30,27035.62,KES,CR,MPESA 23845,BBR06,MPESA,212.65
BK-5cebffe4a3,2024-01-14,2024-01-14,34110.4,KES,CR,Cash DEP acc 23762,BBR05,CASH,182.15
BK-623d64c32c,2024-01-25,2024-01-25,49081.09,KES,CR,CASH DEP 25455,BBR04,CASH,324.42
BK-cc3073c4be,2024-02-27,2024-02-27,42263.62,KES,CR,CASH DEP 26381,BBR01,CASH,291.59
BK-94c408c4d0,2024-01-10,2024-01-10,40065.98,KES,CR,Cash DEP acc 22523,BBR09,CASH,106.14
BK-4cc36fe65e,2024-03-03,2024-03-03,49523.55,KES,CR,CASH DEP 24937,BBR05,CASH,293.53
BK-f604019f25,2024-02-02,2024-02-02,7370.87,KES,CR,CASH DEP 29384,BBR06,CASH,57.72
BK-2a3631f742,2024-04-01,2024-04-01,12790.31,KES,CR,CASH DEP 25555,BBR04,CASH,76.85
BK-fd5dc7fb20,2024-02-20,2024-02-20,49871.37,KES,CR,MPESA 22856,BBR15,MPESA,86.08
BK-2531b5f059,2024-03-17,2024-03-17,30370.93,KES,CR,CHQ DEP for MBR 28520,BBR13,CHEQUE,220.68
BK-bfe6843547,2024-03-30,2024-03-30,43311.43,KES,CR,CASH DEP 23546,BBR05,CASH,206.7
BK-46551984f6,2024-02-24,2024-02-24,27894.22,KES,CR,M-PESA PAY 20489,BBR12,MPESA,183.76
BK-e88e8e4aa8,2024-02-20,2024-02-20,46145.58,KES,CR,CASH DEP 23332,BBR04,CASH,179.8
BK-9887b319f7,2024-03-18,2024-03-18,24059.5,KES,CR,MPESA 28145,BBR09,MPESA,55.01
BK-6fc60798fa,2024-01-16,2024-01-16,47209.27,KES,CR,CHQ DEP MBR 28290,BBR03,CHEQUE,96.5
BK-d3d8d001c8,2024-02-04,2024-02-04,10649.11,KES,CR,CHQ dep MBR 20575,BBR05,CHEQUE,14.31
BK-74e15de17e,2024-01-04,2024-01-04,12177.53,KES,CR,CASH DEP 28864,BBR15,CASH,46.81
BK-afbb409a7a,2024-01-26,2024-01-26,3248.15,KES,CR,CHQ DEP MBR 29376,BBR14,CHEQUE,19.49
BK-d32ee4b589,2024-03-20,2024-03-20,45620.47,KES,CR,M-PESA PAY 22835,BBR14,MPESA,158.56
BK-13c9b93810,2024-02-04,2024-02-04,32183.02,KES,CR,MPESA 28938,BBR15,MPESA,91.39
BK-6bfbe12e10,2024-02-13,2024-02-13,16503.14,KES,CR,CHQ DEP for MBR 24291,BBR04,CHEQUE,112.86
BK-b00d376112,2024-01-19,2024-01-19,35513.06,KES,CR,CASH DEP 21505,BBR09,CASH,269.06
BK-91df4d97df,2024-01-21,2024-01-21,16727.66,KES,CR,MPESA 27406,BBR10,MPESA,18.5
BK-b002aa6887,2024-03-22,2024-03-22,1549.35,KES,CR,CASH DEP 28306,BBR12,CASH,9.5
BK-5545d31ec2,2024-03-13,2024-03-13,6130.76,KES,CR,M-PESA PAY 28899,BBR04,MPESA,13.23
BK-273baafc21,2024-01-26,2024-01-26,21715.77,KES,CR,Cash DEP acc 24724,BBR01,CASH,116.23
BK-9bb11017b5,2024-02-28,2024-02-28,5954.91,KES,CR,M-PESA PAY 29164,BBR02,MPESA,36.77
BK-f302aedb0c,2024-02-06,2024-02-06,10079.87,KES,CR,CHQ dep MBR 24120,BBR12,CHEQUE,50.93
BK-dcb6e26013,2024-02-15,2024-02-15,42510.99,KES,CR,CHQ DEP for MBR 28003,BBR09,CHEQUE,314.24
BK-3dd49eef4f,2024-01-02,2024-01-02,14572.41,KES,CR,CHQ DEP MBR 20044,BBR11,CHEQUE,37.88
BK-ce5a4a788e,2024-02-15,2024-02-15,9918.29,KES,CR,CASH DEP 20959,BBR12,CASH,24.14
BK-c55a3717f5,2024-01-07,2024-01-07,47161.75,KES,CR,CHQ DEP for MBR 24387,BBR03,CHEQUE,333.6
BK-6f6f256072,2024-03-12,2024-03-12,19634.19,KES,CR,MPESA 20391,BBR07,MPESA,114.45
BK-d795a66603,2024-01-15,2024-01-15,26235.03,KES,CR,CHQ dep MBR 21968,BBR06,CHEQUE,203.43
BK-3720bf80b6,2024-01-12,2024-01-12,20075.45,KES,CR,MPESA 24305,BBR06,MPESA,78.21
BK-f8a4deb0c6,2024-03-31,2024-03-31,48136.73,KES,CR,M-PESA PAY 25034,BBR03,MPESA,270.97
BK-ec97a05e12,2024-01-30,2024-01-30,34715.25,KES,CR,Mobile payment MBR 27941,BBR06,MPESA,117.25
BK-c73e32a6bf,2024-03-16,2024-03-16,41579.05,KES,CR,Mobile payment MBR 28605,BBR03,MPESA,328.19
BK-0a1dacf423,2024-03-15,2024-03-15,1946.81,KES,CR,CASH DEP 26782,BBR12,CASH,5.79
BK-15d36cb9f7,2024-03-14,2024-03-14,1503.52,KES,CR,M-PESA PAY 28583,BBR10,MPESA,6.32
BK-c1df6cc90a,2024-03-04,2024-03-04,3621.24,KES,CR,CHQ dep MBR 24540,BBR15,CHEQUE,15.53
BK-e5cbba7bea,2024-03-10,2024-03-10,3383.09,KES,CR,M-PESA PAY 20480,BBR05,MPESA,17.18
BK-34c16ac714,2024-02-09,2024-02-09,1610.6,KES,CR,MPESA 20130,BBR08,MPESA,5.89
BK-e0986ee914,2024-01-29,2024-01-29,23245.99,KES,CR,CHQ dep MBR 20390,BBR07,CHEQUE,74.8
BK-4de03d1269,2024-03-01,2024-03-01,22298.87,KES,CR,M-PESA PAY 27618,BBR09,MPESA,88.04
BK-b517492150,2024-01-27,2024-01-27,5558.36,KES,CR,M-PESA PAY 29436,BBR08,MPESA,42.62
BK-5135286494,2024-01-27,2024-01-27,30848.31,KES,CR,MPESA 24775,BBR12,MPESA,122.51
BK-9529fcdc3a,2024-03-17,2024-03-17,39338.56,KES,CR,Mobile payment MBR 22961,BBR10,MPESA,124.36
BK-a839cba209,2024-01-29,2024-01-29,20956.19,KES,CR,MPESA 26381,BBR07,MPESA,121.94
BK-a3ab4ea3eb,2024-03-28,2024-03-28,17222.29,KES,CR,CASH DEP 25772,BBR09,CASH,35.8
BK-4613c79e10,2024-04-02,2024-04-02,47652.38,KES,CR,M-PESA PAY 29378,BBR01,MPESA,356.11
BK-8b45aed0fb,2024-01-27,2024-01-27,40391.72,KES,CR,MPESA 24303,BBR15,MPESA,247.1
BK-da0a2a4b6c,2024-03-28,2024-03-28,48052.32,KES,CR,Cash DEP acc 20345,BBR02,CASH,304.54
BK-6993d17925,2024-03-28,2024-03-28,33918.27,KES,CR,CASH DEP 20891,BBR05,CASH,136.31
BK-a68264001f,2024-03-23,2024-03-23,22587.19,KES,CR,CASH DEP 27697,BBR03,CASH,164.63
BK-4c7d1275b3,2024-01-25,2024-01-25,37057.24,KES,CR,CHQ DEP MBR 21130,BBR06,CHEQUE,74.8
BK-9e6c0cd117,2024-03-11,2024-03-11,38848.43,KES,CR,Cash DEP acc 20278,BBR13,CASH,192.95
BK-b8465ed842,2024-01-09,2024-01-09,44043.88,KES,CR,CHQ DEP MBR 29947,BBR09,CHEQUE,63.24
BK-1a291cb444,2024-02-15,2024-02-15,28142.01,KES,CR,MPESA 27960,BBR05,MPESA,84.47
BK-6681d96e0b,2024-01-19,2024-01-19,18976.96,KES,CR,CHQ dep MBR 29149,BBR14,CHEQUE,70.7
BK-99dc6a0539,2024-01-16,2024-01-16,20654.51,KES,CR,MPESA 27700,BBR12,MPESA,58.72
BK-6b28f49034,2024-03-03,2024-03-03,28199.9,KES,CR,CHQ DEP for MBR 21370,BBR12,CHEQUE,63.93
BK-7e17d26d2c,2024-03-25,2024-03-25,3365.06,KES,CR,CHQ DEP for MBR 24587,BBR10,CHEQUE,26.27
BK-dacd0e0222,2024-03-12,2024-03-12,25413.75,KES,CR,Mobile payment MBR 21619,BBR01,MPESA,203.37
BK-ba5dc7620d,2024-02-01,2024-02-01,35343.19,KES,CR,CASH DEP 26153,BBR02,CASH,226.27
BK-66c450c16f,2024-02-14,2024-02-14,31828.03,KES,CR,MPESA 20917,BBR03,MPESA,208.43
BK-f09d27a93e,2024-01-11,2024-01-11,43490.4,KES,CR,MPESA 21758,BBR03,MPESA,188.61
BK-236cc5820e,2024-02-01,2024-02-01,46298.46,KES,CR,CASH DEP 21381,BBR12,CASH,315.22
BK-de3dfda32e,2024-02-09,2024-02-09,27047.81,KES,CR,Mobile payment MBR 21190,BBR07,MPESA,133.43
BK-2fa46a38b0,2024-03-15,2024-03-15,20666.84,KES,CR,M-PESA PAY 26850,BBR03,MPESA,95.92
BK-878649e1c4,2024-01-28,2024-01-28,34852.95,KES,CR,MPESA 23845,BBR11,MPESA,231.17
BK-908191925e,2024-02-09,2024-02-09,5605.0,KES,CR,Cash DEP acc 24939,BBR07,CASH,24.66
BK-752f51a949,2024-01-26,2024-01-26,20296.56,KES,CR,CHQ DEP MBR 25585,BBR06,CHEQUE,79.13
BK-dcfda772bb,2024-02-22,2024-02-22,13146.82,KES,CR,M-PESA PAY 20550,BBR09,MPESA,76.62
BK-7ccd579e70,2024-03-11,2024-03-11,26928.74,KES,CR,M-PESA PAY 27185,BBR09,MPESA,69.36
BK-5cf7ffdda9,2024-01-07,2024-01-07,8675.96,KES,CR,MPESA 21646,BBR11,MPESA,59.1
BK-c0be6f1a11,2024-02-01,2024-02-01,45971.85,KES,CR,CHQ dep MBR 23653,BBR12,CHEQUE,154.0
BK-dcd8a31b67,2024-03-30,2024-03-30,31934.7,KES,CR,CHQ DEP MBR 28877,BBR15,CHEQUE,240.68
BK-384b3889c7,2024-01-17,2024-01-17,24854.51,KES,CR,Cash DEP acc 21610,BBR10,CASH,159.85
BK-a14b65f0b3,2024-03-02,2024-03-02,26530.26,KES,CR,CHQ DEP for MBR 27535,BBR05,CHEQUE,156.57
BK-a8bbfa315c,2024-01-31,2024-01-31,26684.14,KES,CR,MPESA 27293,BBR08,MPESA,126.31
BK-d8429fded2,2024-03-24,2024-03-24,5368.78,KES,CR,M-PESA PAY 29919,BBR04,MPESA,40.55
BK-db11345bb2,2024-02-03,2024-02-03,1646.41,KES,CR,MPESA 25626,BBR09,MPESA,7.19
BK-34d2423db5,2024-03-27,2024-03-27,11500.87,KES,CR,Cash DEP acc 25163,BBR08,CASH,32.66
BK-56a235cbcc,2024-01-08,2024-01-08,44503.57,KES,CR,MPESA 22380,BBR13,MPESA,266.82
BK-cbfba1aec8,2024-02-27,2024-02-27,44153.74,KES,CR,CASH DEP 26320,BBR03,CASH,268.73
BK-f8739bf1ef,2024-03-04,2024-03-04,43197.51,KES,CR,CHQ DEP MBR 26304,BBR02,CHEQUE,270.67
BK-9e08785c60,2024-03-05,2024-03-05,48785.77,KES,CR,CASH DEP 26439,BBR06,CASH,191.92
BK-a3a4ec401c,2024-01-29,2024-01-29,37982.16,KES,CR,CHQ DEP for MBR 28790,BBR01,CHEQUE,144.6
BK-e50b1bd222,2024-03-22,2024-03-22,25192.0,KES,CR,Cash DEP acc 25991,BBR03,CASH,148.09
BK-dbeca232dc,2024-02-19,2024-02-19,41321.64,KES,CR,CASH DEP 23622,BBR11,CASH,244.93
BK-ffe66e969f,2024-01-23,2024-01-23,12283.62,KES,CR,Mobile payment MBR 21749,BBR09,MPESA,94.47
BK-fe1a015372,2024-01-08,2024-01-08,35632.27,KES,CR,CASH DEP 25812,BBR12,CASH,274.54
BK-7558f9bbed,2024-03-21,2024-03-21,17424.46,KES,CR,CHQ dep MBR 22691,BBR11,CHEQUE,76.5
BK-838694a77e,2024-03-03,2024-03-03,8228.65,KES,CR,CASH DEP 29996,BBR07,CASH,49.42
BK-3c96a80019,2024-03-09,2024-03-09,25304.76,KES,CR,CASH DEP 25443,BBR05,CASH,157.54
BK-d3e248e00f,2024-01-17,2024-01-17,10960.08,KES,CR,CASH DEP 25611,BBR15,CASH,60.45
BK-4ff57d2cab,2024-03-30,2024-03-30,5640.85,KES,CR,CHQ dep MBR 22568,BBR10,CHEQUE,16.73
BK-e85b5b7522,2024-01-24,2024-01-24,32901.51,KES,CR,Cash DEP acc 25369,BBR04,CASH,201.22
BK-6ad7622308,2024-01-18,2024-01-18,21991.47,KES,CR,M-PESA PAY 26807,BBR11,MPESA,66.15
BK-7462388fe9,2024-01-15,2024-01-15,39268.15,KES,CR,CHQ DEP for MBR 22881,BBR02,CHEQUE,113.7
BK-1ea9253428,2024-01-28,2024-01-28,32930.25,KES,CR,CHQ dep MBR 23289,BBR06,CHEQUE,153.65
BK-139454bfca,2024-03-17,2024-03-17,35851.57,KES,CR,CHQ DEP for MBR 24438,BBR06,CHEQUE,278.3
BK-3862ae0733,2024-02-29,2024-02-29,14897.18,KES,CR,Cash DEP acc 28484,BBR05,CASH,41.19
BK-81ac3ca21a,2024-03-03,2024-03-03,2708.25,KES,CR,Cash DEP acc 29340,BBR03,CASH,13.04
BK-c583f4c384,2024-02-29,2024-02-29,5032.63,KES,CR,Mobile payment MBR 22414,BBR09,MPESA,7.19
BK-30977372a5,2024-01-10,2024-01-10,43201.59,KES,CR,CASH DEP 20018,BBR10,CASH,332.1
BK-268d12df4f,2024-02-19,2024-02-19,43937.9,KES,CR,CHQ dep MBR 26875,BBR06,CHEQUE,347.42
BK-3a346a360c,2024-03-30,2024-03-30,7233.97,KES,CR,M-PESA PAY 21989,BBR05,MPESA,10.28
BK-d206576d81,2024-01-09,2024-01-09,9593.35,KES,CR,CASH DEP 22476,BBR05,CASH,33.88
BK-75872453f0,2024-02-14,2024-02-14,8630.02,KES,CR,M-PESA PAY 24315,BBR09,MPESA,52.32
BK-5e9ce1c993,2024-02-05,2024-02-05,35124.93,KES,CR,Cash DEP acc 22309,BBR05,CASH,104.94
BK-5fbb61d01c,2024-02-07,2024-02-07,34865.13,KES,CR,MPESA 25681,BBR06,MPESA,161.83
BK-1325d5695f,2024-01-24,2024-01-24,35569.11,KES,CR,Cash DEP acc 25695,BBR07,CASH,146.35
BK-990a42f740,2024-01-16,2024-01-16,8341.38,KES,CR,CHQ DEP for MBR 20093,BBR11,CHEQUE,34.53
BK-612b7c1503,2024-01-23,2024-01-23,25579.28,KES,CR,CHQ DEP for MBR 25469,BBR14,CHEQUE,75.05
BK-617b10ce38,2024-01-06,2024-01-06,3989.9,KES,CR,Mobile payment MBR 26627,BBR03,MPESA,15.11
BK-2677bb1629,2024-03-30,2024-03-30,28261.68,KES,CR,CASH DEP 27158,BBR10,CASH,106.94
BK-7931552737,2024-03-21,2024-03-21,31340.32,KES,CR,CHQ DEP for MBR 29048,BBR14,CHEQUE,140.05
BK-ea8314df2a,2024-01-11,2024-01-11,23944.04,KES,CR,M-PESA PAY 22937,BBR14,MPESA,63.42
BK-478a4b1087,2024-03-27,2024-03-27,48214.38,KES,CR,CASH DEP 26543,BBR03,CASH,154.17
BK-24f44ab900,2024-03-27,2024-03-27,27989.14,KES,CR,Mobile payment MBR 24706,BBR08,MPESA,83.6
BK-e6b567e21e,2024-03-09,2024-03-09,18089.95,KES,CR,CASH DEP 25896,BBR12,CASH,92.93
BK-4f5ad60f07,2024-03-05,2024-03-05,1555.97,KES,CR,CHQ DEP MBR 22946,BBR12,CHEQUE,9.93
BK-0897cea3f4,2024-01-11,2024-01-11,27685.18,KES,CR,CASH DEP 29989,BBR02,CASH,215.09
BK-d1f2685670,2024-02-10,2024-02-10,40079.7,KES,CR,CHQ DEP for MBR 22363,BBR06,CHEQUE,56.82
BK-bc41994e4c,2024-01-20,2024-01-20,30992.83,KES,CR,M-PESA PAY 27174,BBR14,MPESA,93.72
BK-49cfc4312c,2024-03-10,2024-03-10,26332.37,KES,CR,M-PESA PAY 26374,BBR01,MPESA,28.82
BK-db63af3a1f,2024-01-20,2024-01-20,21569.56,KES,CR,Cash DEP acc 21536,BBR08,CASH,45.72
BK-3177352f90,2024-01-16,2024-01-16,17140.78,KES,CR,CHQ DEP MBR 25582,BBR14,CHEQUE,75.23
BK-87ded24a33,2024-01-28,2024-01-28,41669.75,KES,CR,CHQ dep MBR 27141,BBR09,CHEQUE,206.92
BK-b626686dfb,2024-01-04,2024-01-04,15969.21,KES,CR,CHQ DEP MBR 28110,BBR03,CHEQUE,118.21
BK-b006440437,2024-02-08,2024-02-08,41023.15,KES,CR,CASH DEP 26682,BBR11,CASH,265.33
BK-cf9b084a51,2024-03-03,2024-03-03,17536.12,KES,CR,M-PESA PAY 29056,BBR02,MPESA,41.73
BK-8daaeb92fd,2024-03-22,2024-03-22,43539.67,KES,CR,M-PESA PAY 23092,BBR02,MPESA,95.58
BK-2e4c557178,2024-02-14,2024-02-14,25399.98,KES,CR,CHQ DEP for MBR 26502,BBR09,CHEQUE,47.3
BK-cac09fe452,2024-02-03,2024-02-03,38937.03,KES,CR,CHQ dep MBR 23435,BBR06,CHEQUE,236.92
BK-aa6235ad71,2024-02-07,2024-02-07,4905.27,KES,CR,CHQ DEP MBR 22296,BBR02,CHEQUE,28.94
BK-5187c68e1a,2024-03-26,2024-03-26,36282.87,KES,CR,Cash DEP acc 26373,BBR07,CASH,140.33
BK-5c63e801c6,2024-01-28,2024-01-28,9520.06,KES,CR,M-PESA PAY 29399,BBR11,MPESA,27.77
BK-f9f359b799,2024-03-04,2024-03-04,41023.54,KES,CR,CHQ DEP MBR 24489,BBR06,CHEQUE,224.75
BK-45c75b3af0,2024-01-14,2024-01-14,41861.31,KES,CR,Mobile payment MBR 24152,BBR06,MPESA,125.57
BK-ab67af3040,2024-01-28,2024-01-28,38654.04,KES,CR,CHQ DEP for MBR 26516,BBR01,CHEQUE,195.18
BK-7a12200cda,2024-01-08,2024-01-08,48525.69,KES,CR,Cash DEP acc 29282,BBR03,CASH,367.39
BK-f7f0b4c4c9,2024-02-13,2024-02-13,44925.8,KES,CR,CHQ dep MBR 22899,BBR14,CHEQUE,116.86
BK-4d20d70fd1,2024-03-09,2024-03-09,7680.44,KES,CR,CHQ DEP for MBR 28870,BBR10,CHEQUE,52.12
BK-4e1bdf0a2c,2024-01-28,2024-01-28,30286.63,KES,CR,MPESA 29966,BBR13,MPESA,149.47
BK-1c4d4e8c99,2024-01-24,2024-01-24,49393.38,KES,CR,Mobile payment MBR 20079,BBR08,MPESA,233.25
BK-53ad1aaa18,2024-01-04,2024-01-04,37051.68,KES,CR,CASH DEP 26893,BBR02,CASH,248.9
BK-089b889b04,2024-03-03,2024-03-03,42388.89,KES,CR,Cash DEP acc 29657,BBR07,CASH,316.28
BK-3fa685b1fa,2024-01-18,2024-01-18,25019.84,KES,CR,CHQ DEP for MBR 24011,BBR05,CHEQUE,86.75
BK-e055bcc644,2024-03-08,2024-03-08,39788.59,KES,CR,CASH DEP 28810,BBR04,CASH,312.88
BK-51ddb704d2,2024-02-26,2024-02-26,13771.19,KES,CR,MPESA 22167,BBR02,MPESA,106.12
BK-f420957969,2024-03-04,2024-03-04,11937.27,KES,CR,Cash DEP acc 21458,BBR08,CASH,69.73
BK-176042ba90,2024-01-11,2024-01-11,7336.5,KES,CR,Cash DEP acc 20920,BBR13,CASH,29.89
BK-d178312f16,2024-01-07,2024-01-07,29867.95,KES,CR,CASH DEP 25295,BBR08,CASH,97.09
BK-f245f0eef3,2024-03-10,2024-03-10,4205.29,KES,CR,M-PESA PAY 26575,BBR10,MPESA,30.84
BK-7320bd7cb4,2024-01-20,2024-01-20,42395.48,KES,CR,Cash DEP acc 26296,BBR10,CASH,125.6
BK-2f72f9d03b,2024-03-19,2024-03-19,21057.47,KES,CR,Cash DEP acc 21148,BBR02,CASH,111.13
BK-c5d866bd9d,2024-02-06,2024-02-06,24698.06,KES,CR,CHQ DEP MBR 25766,BBR12,CHEQUE,66.2
BK-714a58385b,2024-01-05,2024-01-05,12649.0,KES,CR,M-PESA PAY 20307,BBR08,MPESA,32.72
BK-21a28228f7,2024-02-22,2024-02-22,26126.28,KES,CR,MPESA 24642,BBR09,MPESA,100.51
BK-436044b284,2024-03-09,2024-03-09,48017.07,KES,CR,M-PESA PAY 28954,BBR03,MPESA,290.45
BK-d70fbad030,2024-02-25,2024-02-25,13495.58,KES,CR,Cash DEP acc 23442,BBR01,CASH,51.36
BK-a2eda043b1,2024-01-15,2024-01-15,46916.6,KES,CR,CASH DEP 29982,BBR14,CASH,131.81
BK-72af278d7d,2024-03-16,2024-03-16,41216.17,KES,CR,CHQ dep MBR 25795,BBR13,CHEQUE,214.72
BK-39846af312,2024-01-07,2024-01-07,18041.3,KES,CR,CHQ dep MBR 28992,BBR06,CHEQUE,107.33
BK-47e526a092,2024-03-11,2024-03-11,2401.57,KES,CR,CHQ DEP for MBR 23617,BBR14,CHEQUE,9.84
BK-4f50d329c1,2024-03-21,2024-03-21,11807.79,KES,CR,M-PESA PAY 29549,BBR01,MPESA,35.97
BK-3ebe8d5e52,2024-02-12,2024-02-12,35574.05,KES,CR,CHQ DEP MBR 23036,BBR03,CHEQUE,182.4
BK-10828f002e,2024-01-28,2024-01-28,35302.26,KES,CR,CHQ DEP MBR 27689,BBR06,CHEQUE,40.83
BK-23cf52da0f,2024-03-12,2024-03-12,30652.41,KES,CR,M-PESA PAY 27559,BBR07,MPESA,63.97
BK-8d46c0db39,2024-03-02,2024-03-02,27885.15,KES,CR,M-PESA PAY 26658,BBR08,MPESA,96.07
BK-a65669cebf,2024-03-03,2024-03-03,49597.99,KES,CR,CASH DEP 27454,BBR09,CASH,62.97
BK-9a36a36c6c,2024-03-10,2024-03-10,36721.45,KES,CR,CASH DEP 26849,BBR05,CASH,64.31
BK-b7da50a9dc,2024-02-09,2024-02-09,44100.46,KES,CR,M-PESA PAY 23084,BBR02,MPESA,136.18
BK-b8c3d377a0,2024-03-14,2024-03-14,36489.45,KES,CR,MPESA 27120,BBR09,MPESA,290.27
BK-551e715532,2024-01-08,2024-01-08,46167.49,KES,CR,Cash DEP acc 22377,BBR11,CASH,148.76
BK-6506c8800f,2024-03-02,2024-03-02,43794.24,KES,CR,MPESA 20737,BBR13,MPESA,265.74
BK-809eeba30d,2024-01-21,2024-01-21,22434.91,KES,CR,M-PESA PAY 21549,BBR07,MPESA,76.61
BK-0dc63f0434,2024-01-17,2024-01-17,35331.89,KES,CR,CHQ DEP MBR 28314,BBR04,CHEQUE,149.69
BK-a3be16e621,2024-03-15,2024-03-15,42615.41,KES,CR,Cash DEP acc 24172,BBR07,CASH,340.75
BK-2ed95c018e,2024-02-14,2024-02-14,27869.67,KES,CR,CHQ DEP for MBR 26419,BBR10,CHEQUE,125.06
BK-0d6570da49,2024-01-04,2024-01-04,5265.35,KES,CR,Cash DEP acc 28879,BBR13,CASH,15.72
BK-a9fe7fbf41,2024-02-23,2024-02-23,6519.19,KES,CR,CHQ dep MBR 25135,BBR02,CHEQUE,31.05
BK-5e7489d634,2024-03-11,2024-03-11,42937.66,KES,CR,CHQ DEP for MBR 21393,BBR04,CHEQUE,46.09
BK-540fed6b67,2024-02-01,2024-02-01,42848.28,KES,CR,MPESA 28240,BBR10,MPESA,43.69
BK-e164d25e0c,2024-01-19,2024-01-19,27080.48,KES,CR,CHQ DEP for MBR 21638,BBR13,CHEQUE,32.42
BK-9cc74fb3a8,2024-02-12,2024-02-12,2063.98,KES,CR,Cash DEP acc 25524,BBR01,CASH,3.87
BK-241583243e,2024-02-29,2024-02-29,44188.89,KES,CR,CASH DEP 21667,BBR09,CASH,204.32
BK-c2ac231b25,2024-03-23,2024-03-23,38182.45,KES,CR,CASH DEP 29289,BBR11,CASH,68.46
BK-9876c603ad,2024-02-01,2024-02-01,19513.75,KES,CR,CHQ DEP MBR 26126,BBR08,CHEQUE,101.47
BK-ec87140848,2024-01-09,2024-01-09,12612.59,KES,CR,CHQ DEP for MBR 29978,BBR04,CHEQUE,101.2
BK-f7c777bdec,2024-01-15,2024-01-15,25260.96,KES,CR,CHQ DEP for MBR 21216,BBR01,CHEQUE,167.82
BK-99c101e696,2024-03-31,2024-03-31,7594.67,KES,CR,Cash DEP acc 20862,BBR10,CASH,10.44
BK-2b5405d00e,2024-01-07,2024-01-07,12146.62,KES,CR,M-PESA PAY 28371,BBR10,MPESA,22.1
BK-c618d69407,2024-02-13,2024-02-13,22246.47,KES,CR,CHQ dep MBR 29355,BBR07,CHEQUE,40.54
BK-3d89845dbf,2024-01-04,2024-01-04,31066.89,KES,CR,Cash DEP acc 24716,BBR10,CASH,224.12
BK-3c84790d97,2024-03-17,2024-03-17,34708.9,KES,CR,MPESA 24207,BBR04,MPESA,147.79
BK-06eea1ad18,2024-03-11,2024-03-11,26449.26,KES,CR,CASH DEP 25886,BBR15,CASH,151.68
BK-eea854b77a,2024-02-16,2024-02-16,47930.08,KES,CR,CHQ dep MBR 23375,BBR10,CHEQUE,353.86
BK-6ae74374ee,2024-01-27,2024-01-27,8095.75,KES,CR,MPESA 24757,BBR07,MPESA,43.97
BK-52a3436f2e,2024-01-25,2024-01-25,27792.25,KES,CR,Mobile payment MBR 29980,BBR07,MPESA,30.54
BK-1a790e7c47,2024-01-15,2024-01-15,38116.62,KES,CR,CHQ dep MBR 25985,BBR04,CHEQUE,97.31
BK-e99d2267b3,2024-03-19,2024-03-19,26553.06,KES,CR,CHQ dep MBR 21362,BBR13,CHEQUE,198.98
BK-ab66893667,2024-02-02,2024-02-02,33406.54,KES,CR,CHQ DEP for MBR 27338,BBR04,CHEQUE,194.36
BK-1263ac45b8,2024-02-08,2024-02-08,35979.03,KES,CR,Cash DEP acc 29105,BBR06,CASH,82.18
BK-6d43c8a927,2024-01-21,2024-01-21,21827.07,KES,CR,CASH DEP 27081,BBR06,CASH,92.24
BK-8bdc1c17b9,2024-01-07,2024-01-07,11187.1,KES,CR,CASH DEP 22033,BBR08,CASH,88.76
BK-a283e53ab3,2024-01-12,2024-01-12,8015.04,KES,CR,CASH DEP 26199,BBR03,CASH,26.8
BK-516365f071,2024-02-09,2024-02-09,28273.95,KES,CR,M-PESA PAY 29404,BBR02,MPESA,33.88
BK-227e258249,2024-02-27,2024-02-27,11879.89,KES,CR,CASH DEP 21757,BBR07,CASH,24.54
BK-fea4a14cce,2024-02-09,2024-02-09,30672.0,KES,CR,M-PESA PAY 29337,BBR13,MPESA,108.34
BK-e9a0248608,2024-02-22,2024-02-22,18771.97,KES,CR,CHQ dep MBR 24310,BBR08,CHEQUE,84.37
BK-aea7047467,2024-01-20,2024-01-20,49668.89,KES,CR,CHQ DEP for MBR 22989,BBR13,CHEQUE,240.93
BK-1d089a5ca5,2024-03-19,2024-03-19,46281.78,KES,CR,CHQ DEP MBR 26790,BBR14,CHEQUE,86.23
BK-bec4cdb98c,2024-02-15,2024-02-15,6560.38,KES,CR,CHQ dep MBR 23742,BBR05,CHEQUE,30.23
BK-795d102e66,2024-01-11,2024-01-11,23731.57,KES,CR,CHQ dep MBR 24656,BBR03,CHEQUE,124.55
BK-b51045f157,2024-01-26,2024-01-26,12672.09,KES,CR,Cash DEP acc 25980,BBR07,CASH,94.65
BK-de7526e1ba,2024-03-13,2024-03-13,3969.12,KES,CR,CHQ DEP for MBR 25690,BBR10,CHEQUE,9.9
BK-70e3055028,2024-03-12,2024-03-12,18927.21,KES,CR,Cash DEP acc 27214,BBR10,CASH,75.85
BK-6d13555896,2024-01-26,2024-01-26,18291.13,KES,CR,Cash DEP acc 22562,BBR05,CASH,63.81
BK-1bd3343df7,2024-01-08,2024-01-08,13414.01,KES,CR,CASH DEP 28277,BBR14,CASH,51.23
BK-a28c3a53e0,2024-01-02,2024-01-02,8673.27,KES,CR,Mobile payment MBR 21967,BBR02,MPESA,35.01
