payment_ref,payment_timestamp,value_date,amount,currency,payment_channel,customer_id,narration,payment_status,entered_by,branch_code,expected_fee
PS-8920944b90,2024-03-28,2024-01-23,1753.2,KES,CHEQUE,20747,Cheque dep member 20747,SUCCESS,TELLER,BR03,7.84
PS-bb2c37e66b,2024-01-16,2024-02-24,33297.12,KES,MPESA,25239,Mobile payment member 25239,FAILED,BATCH,BR10,126.98
PS-9d54684fa6,2024-01-28,2024-02-20,39692.15,KES,CASH,29398,Cash deposit acc 29398,SUCCESS,SYSTEM,BR06,367.85
PS-352c2b4c9e,2024-02-14,2024-03-31,10306.72,KES,CHEQUE,23251,Cheque deposit for member 23251,SUCCESS,BATCH,BR13,35.13
PS-281fc4e915,2024-03-21,2024-03-03,32421.33,KES,CASH,20438,Cash deposit acc 20438,SUCCESS,SYSTEM,BR05,251.37
PS-244c131e65,2024-01-19,2024-01-22,34302.83,KES,CASH,25771,Cash deposit acc 25771,FAILED,BATCH,BR15,130.86
PS-c07abe8326,2024-02-06,2024-02-16,30367.79,KES,CASH,23114,CASH DEP 23114,SUCCESS,BATCH,BR08,250.68
PS-aa06fa632c,2024-03-05,2024-02-14,11718.54,KES,CHEQUE,23694,Cheque deposit for member 23694,SUCCESS,SYSTEM,BR13,32.03
PS-32fb17e0ef,2024-01-24,2024-02-19,48818.1,KES,CASH,20802,CASH DEP 20802,SUCCESS,TELLER,BR17,412.78
PS-4ff782f007,2024-01-16,2024-01-20,2409.43,KES,MPESA,23275,MPESA 23275,SUCCESS,TELLER,BR12,17.25
PS-0f733e7aae,2024-03-12,2024-03-21,44700.95,KES,CHEQUE,29070,Cheque deposit for member 29070,SUCCESS,BATCH,BR03,434.01
PS-80b6fc1875,2024-03-31,2024-02-03,39790.91,KES,CASH,28077,CASH DEP 28077,SUCCESS,SYSTEM,BR16,143.34
PS-411e6d1d81,2024-01-28,2024-03-29,6985.69,KES,MPESA,27251,Mobile payment member 27251,SUCCESS,TELLER,BR06,65.37
PS-e27f30afee,2024-02-07,2024-02-02,31919.65,KES,CHEQUE,28328,Cheque deposit for member 28328,SUCCESS,SYSTEM,BR18,316.74
PS-68e5245005,2024-03-28,2024-03-21,36009.07,KES,CHEQUE,29274,Cheque deposit for member 29274,SUCCESS,TELLER,BR12,188.7
PS-cebfeeccc4,2024-02-13,2024-01-28,41142.12,KES,CHEQUE,26177,CHQ DEP MBR 26177,SUCCESS,BATCH,BR02,378.58
PS-7aa1deaa0d,2024-02-01,2024-01-09,39622.61,KES,CASH,23968,Cash deposit acc 23968,SUCCESS,BATCH,BR02,165.32
PS-135269b377,2024-03-03,2024-03-26,5674.8,KES,MPESA,28057,MPESA 28057,SUCCESS,TELLER,BR18,54.47
PS-92f6a6f237,2024-03-25,2024-01-10,28303.39,KES,CASH,21999,Cash deposit acc 21999,SUCCESS,SYSTEM,BR06,147.47
PS-8e03ef2b46,2024-01-30,2024-03-14,39334.98,KES,CASH,20939,CASH DEP 20939,SUCCESS,BATCH,BR12,200.17
PS-059806de91,2024-02-16,2024-02-10,14204.02,KES,CASH,25141,CASH DEP 25141,SUCCESS,BATCH,BR03,119.23
PS-fae9d771b0,2024-02-04,2024-01-10,4780.66,KES,MPESA,21102,Mobile payment member 21102,FAILED,BATCH,BR11,22.18
PS-fcded5ed60,2024-03-14,2024-02-18,28693.98,KES,CHEQUE,24450,Cheque dep member 24450,SUCCESS,TELLER,BR19,131.08
PS-7f59801061,2024-03-02,2024-01-01,18208.76,KES,MPESA,28964,Mobile payment member 28964,SUCCESS,TELLER,BR09,61.0
PS-a2c178a8d5,2024-03-24,2024-03-04,1237.99,KES,CASH,22593,Cash deposit acc 22593,SUCCESS,TELLER,BR03,3.96
PS-7b7ca58ffd,2024-02-25,2024-03-20,28792.89,KES,CHEQUE,21200,CHQ DEP MBR 21200,SUCCESS,SYSTEM,BR18,188.08
PS-86a291ed1d,2024-03-01,2024-01-28,2298.62,KES,MPESA,27436,Mobile payment member 27436,FAILED,TELLER,BR14,13.62
PS-f49919922e,2024-01-24,2024-01-17,4455.19,KES,CHEQUE,27927,CHQ DEP MBR 27927,SUCCESS,BATCH,BR13,32.97
PS-31fc936de1,2024-03-08,2024-03-09,47977.62,KES,MPESA,20463,M-PESA PAY 20463,SUCCESS,SYSTEM,BR18,257.3
PS-78bc02f33a,2024-03-28,2024-03-14,46830.48,KES,CASH,23886,CASH DEP 23886,FAILED,TELLER,BR04,319.43
PS-ea48ed477a,2024-03-06,2024-03-27,15783.95,KES,MPESA,26262,M-PESA PAY 26262,SUCCESS,BATCH,BR11,54.51
PS-0234c4977f,2024-01-09,2024-02-15,2761.19,KES,CHEQUE,22042,Cheque deposit for member 22042,SUCCESS,SYSTEM,BR16,23.36
PS-1eef07eb77,2024-02-06,2024-03-02,28370.5,KES,MPESA,24461,Mobile payment member 24461,SUCCESS,BATCH,BR02,57.01
PS-fc123c0f0c,2024-03-10,2024-03-26,23481.23,KES,CASH,26895,CASH DEP 26895,SUCCESS,SYSTEM,BR13,102.89
PS-cac002dd97,2024-01-12,2024-02-23,22781.88,KES,CASH,27337,Cash deposit acc 27337,SUCCESS,SYSTEM,BR12,123.32
PS-61e9f1e4cc,2024-02-22,2024-02-01,42966.1,KES,MPESA,20553,MPESA 20553,SUCCESS,SYSTEM,BR08,247.57
PS-d0cf86a44d,2024-03-13,2024-02-24,37086.18,KES,CASH,20616,Cash deposit acc 20616,FAILED,SYSTEM,BR15,97.63
PS-d7755b16da,2024-02-18,2024-01-29,18225.62,KES,CASH,29264,CASH DEP 29264,SUCCESS,TELLER,BR02,137.75
PS-b05a8847cb,2024-02-14,2024-01-15,36091.28,KES,MPESA,29724,Mobile payment member 29724,SUCCESS,BATCH,BR06,205.77
PS-9d0a7600e7,2024-02-10,2024-03-19,15335.63,KES,MPESA,23381,MPESA 23381,FAILED,BATCH,BR20,134.95
PS-c6740ed55f,2024-02-06,2024-02-22,30780.34,KES,MPESA,29337,M-PESA PAY 29337,SUCCESS,SYSTEM,BR08,135.07
PS-17390601f2,2024-02-07,2024-01-29,43795.62,KES,MPESA,25413,MPESA 25413,FAILED,BATCH,BR09,362.83
PS-6e286a7c66,2024-03-18,2024-03-16,6504.96,KES,CASH,25002,Cash deposit acc 25002,SUCCESS,BATCH,BR08,56.4
PS-36e5b72ea6,2024-03-14,2024-02-04,29126.81,KES,MPESA,24234,MPESA 24234,SUCCESS,SYSTEM,BR01,180.78
PS-3cf19de115,2024-02-12,2024-03-05,7732.16,KES,CHEQUE,29197,CHQ DEP MBR 29197,SUCCESS,TELLER,BR20,60.18
PS-74d0d399ff,2024-03-07,2024-03-15,33615.89,KES,CASH,23580,CASH DEP 23580,SUCCESS,TELLER,BR08,109.64
PS-630bdd0be0,2024-01-23,2024-01-15,22554.38,KES,CASH,20130,CASH DEP 20130,SUCCESS,TELLER,BR16,104.08
PS-54b1d10abc,2024-02-22,2024-02-17,10039.46,KES,MPESA,28496,MPESA 28496,SUCCESS,SYSTEM,BR19,30.67
PS-039c720b2c,2024-02-05,2024-03-13,12599.48,KES,CHEQUE,22058,CHQ DEP MBR 22058,SUCCESS,SYSTEM,BR13,118.83
PS-b417a7c305,2024-01-04,2024-01-19,30741.45,KES,CASH,22431,CASH DEP 22431,SUCCESS,TELLER,BR05,253.01
PS-2efe0cbff7,2024-02-20,2024-02-15,43256.83,KES,CASH,23342,CASH DEP 23342,SUCCESS,TELLER,BR11,288.04
PS-7c7cf39aa4,2024-01-11,2024-03-14,27991.17,KES,CHEQUE,27722,Cheque dep member 27722,SUCCESS,TELLER,BR03,114.45
PS-f51ad26240,2024-02-11,2024-02-20,15268.06,KES,CASH,25906,CASH DEP 25906,SUCCESS,TELLER,BR03,39.39
PS-28f29256e9,2024-02-07,2024-01-24,18863.84,KES,CASH,28880,Cash deposit acc 28880,SUCCESS,SYSTEM,BR06,178.5
PS-a0ca1f3376,2024-02-28,2024-02-07,42969.78,KES,CHEQUE,22223,Cheque deposit for member 22223,SUCCESS,SYSTEM,BR14,157.41
PS-e43c6e4530,2024-03-15,2024-02-23,15412.26,KES,CHEQUE,21765,Cheque dep member 21765,SUCCESS,BATCH,BR13,127.17
PS-6e8397661c,2024-03-24,2024-02-10,2117.14,KES,CHEQUE,28851,Cheque dep member 28851,SUCCESS,BATCH,BR05,13.87
PS-21758401a3,2024-01-20,2024-03-24,37786.53,KES,MPESA,24597,Mobile payment member 24597,FAILED,BATCH,BR16,208.02
PS-a996e3ac34,2024-01-05,2024-02-08,23557.9,KES,CHEQUE,24686,Cheque deposit for member 24686,SUCCESS,SYSTEM,BR02,76.36
PS-2963e4bffd,2024-03-12,2024-03-19,47388.83,KES,MPESA,28791,MPESA 28791,SUCCESS,SYSTEM,BR13,223.05
PS-1ab64f429b,2024-01-21,2024-01-26,36626.72,KES,MPESA,27347,Mobile payment member 27347,SUCCESS,TELLER,BR17,364.51
PS-8912bc9063,2024-02-21,2024-03-14,7246.46,KES,CHEQUE,23830,Cheque deposit for member 23830,SUCCESS,TELLER,BR07,65.38
PS-0d9db9c0cf,2024-02-29,2024-02-26,11363.25,KES,CHEQUE,23763,Cheque deposit for member 23763,SUCCESS,BATCH,BR04,83.66
PS-1c2a5f669c,2024-02-26,2024-02-24,18577.41,KES,MPESA,27008,Mobile payment member 27008,SUCCESS,SYSTEM,BR20,127.81
PS-327ac43646,2024-02-05,2024-03-23,44982.93,KES,CHEQUE,25164,CHQ DEP MBR 25164,SUCCESS,TELLER,BR02,118.12
PS-bdf068a7e3,2024-02-03,2024-03-03,36868.45,KES,CHEQUE,22835,Cheque deposit for member 22835,SUCCESS,TELLER,BR01,137.68
PS-715b964616,2024-01-09,2024-03-15,6789.26,KES,CHEQUE,22159,Cheque dep member 22159,SUCCESS,TELLER,BR03,38.25
PS-f14c4a08a6,2024-01-07,2024-02-17,33264.91,KES,CHEQUE,22671,Cheque deposit for member 22671,SUCCESS,SYSTEM,BR14,310.37
PS-e7b499c3e7,2024-01-14,2024-03-01,44213.34,KES,CASH,24242,CASH DEP 24242,SUCCESS,SYSTEM,BR09,234.83
PS-a014b10a96,2024-02-16,2024-03-22,46320.14,KES,CHEQUE,29842,Cheque dep member 29842,SUCCESS,TELLER,BR18,415.92
PS-ff7092e6a8,2024-01-19,2024-02-13,39536.68,KES,CHEQUE,27220,Cheque dep member 27220,SUCCESS,TELLER,BR06,128.27
PS-54a437c8c4,2024-03-29,2024-02-13,40231.89,KES,CHEQUE,29810,CHQ DEP MBR 29810,SUCCESS,SYSTEM,BR18,171.15
PS-e3968a174f,2024-02-01,2024-03-03,36373.0,KES,CASH,24173,Cash deposit acc 24173,SUCCESS,BATCH,BR07,204.09
PS-b9241d906c,2024-01-07,2024-01-16,5436.62,KES,CHEQUE,21250,Cheque dep member 21250,SUCCESS,SYSTEM,BR17,12.7
PS-796360563c,2024-03-19,2024-01-07,27863.55,KES,CASH,25679,Cash deposit acc 25679,SUCCESS,SYSTEM,BR02,248.09
PS-04925a5c5b,2024-01-29,2024-03-17,34832.5,KES,MPESA,27941,Mobile payment member 27941,SUCCESS,SYSTEM,BR04,233.45
PS-7472202c56,2024-01-15,2024-03-04,18070.5,KES,CASH,24125,Cash deposit acc 24125,SUCCESS,TELLER,BR06,56.68
PS-621dc24f63,2024-03-12,2024-02-28,37547.7,KES,MPESA,28064,Mobile payment member 28064,SUCCESS,TELLER,BR01,183.45
PS-9072529891,2024-02-18,2024-03-27,7644.93,KES,CHEQUE,24739,CHQ DEP MBR 24739,SUCCESS,BATCH,BR09,51.44
PS-cf3f78cbd3,2024-01-01,2024-03-29,45484.2,KES,CHEQUE,26266,Cheque dep member 26266,SUCCESS,TELLER,BR07,446.17
PS-759c8432db,2024-01-03,2024-02-09,22419.52,KES,MPESA,24823,M-PESA PAY 24823,FAILED,BATCH,BR16,136.06
PS-270704d8ae,2024-01-22,2024-01-02,1081.31,KES,MPESA,29504,MPESA 29504,SUCCESS,BATCH,BR13,8.79
PS-f4b58d0b19,2024-01-25,2024-03-28,30797.83,KES,CHEQUE,25723,CHQ DEP MBR 25723,SUCCESS,SYSTEM,BR09,215.32
PS-ebbb98e751,2024-01-21,2024-03-17,21643.36,KES,MPESA,22976,M-PESA PAY 22976,SUCCESS,SYSTEM,BR14,83.66
PS-dc98defddb,2024-01-22,2024-01-21,46103.45,KES,MPESA,23030,MPESA 23030,SUCCESS,BATCH,BR05,98.67
PS-cc8a60ae13,2024-03-18,2024-01-18,17789.84,KES,MPESA,21319,Mobile payment member 21319,SUCCESS,BATCH,BR12,117.09
PS-3909d7957d,2024-02-11,2024-02-22,29830.19,KES,CHEQUE,22583,Cheque deposit for member 22583,SUCCESS,TELLER,BR05,200.8
PS-99fa8dfc7b,2024-02-25,2024-02-01,35206.01,KES,CASH,25174,CASH DEP 25174,SUCCESS,BATCH,BR05,252.29
PS-289ef4c018,2024-01-24,2024-01-06,36274.63,KES,CASH,22823,CASH DEP 22823,SUCCESS,SYSTEM,BR03,169.83
PS-75e3af334c,2024-03-11,2024-02-13,25961.42,KES,CASH,24246,Cash deposit acc 24246,SUCCESS,TELLER,BR07,202.26
PS-4605839086,2024-01-06,2024-02-04,27146.33,KES,CASH,23654,Cash deposit acc 23654,SUCCESS,BATCH,BR06,68.24
PS-405bbc7b26,2024-01-23,2024-01-10,42599.93,KES,CHEQUE,21371,CHQ DEP MBR 21371,SUCCESS,BATCH,BR10,259.47
PS-851c343d00,2024-02-25,2024-03-10,18938.23,KES,CASH,21845,CASH DEP 21845,SUCCESS,BATCH,BR16,188.08
PS-4c9ee14dbc,2024-03-08,2024-02-11,5647.07,KES,CHEQUE,24881,CHQ DEP MBR 24881,SUCCESS,BATCH,BR18,13.94
PS-916ae1015f,2024-03-27,2024-01-01,37628.79,KES,MPESA,25067,Mobile payment member 25067,SUCCESS,SYSTEM,BR06,246.85
PS-3eeed36302,2024-02-01,2024-02-10,22391.09,KES,MPESA,28232,M-PESA PAY 28232,SUCCESS,SYSTEM,BR13,159.03
PS-7e43293d4b,2024-01-16,2024-03-17,37572.25,KES,MPESA,24616,MPESA 24616,SUCCESS,BATCH,BR05,140.58
PS-f62b7e4312,2024-02-25,2024-01-19,30720.49,KES,CHEQUE,22953,Cheque deposit for member 22953,SUCCESS,TELLER,BR07,106.42
PS-6db2a77c8e,2024-03-19,2024-02-02,3666.21,KES,CASH,25007,Cash deposit acc 25007,SUCCESS,TELLER,BR10,28.82
PS-e311db0c81,2024-01-15,2024-01-12,38738.04,KES,CASH,28373,CASH DEP 28373,SUCCESS,BATCH,BR15,125.02
PS-5be055e4a0,2024-02-05,2024-03-14,30665.81,KES,CASH,26656,Cash deposit acc 26656,FAILED,BATCH,BR06,187.35
PS-74dd7d5d4b,2024-01-29,2024-02-25,36900.11,KES,CHEQUE,23263,CHQ DEP MBR 23263,SUCCESS,SYSTEM,BR01,291.51
PS-5d189784ad,2024-01-26,2024-01-21,605.48,KES,CASH,22754,CASH DEP 22754,SUCCESS,TELLER,BR18,3.13
PS-24a2aefa55,2024-01-23,2024-02-04,16427.39,KES,CHEQUE,21578,Cheque deposit for member 21578,SUCCESS,BATCH,BR08,105.11
PS-4139e5c307,2024-02-23,2024-03-19,27880.96,KES,MPESA,20031,Mobile payment member 20031,SUCCESS,BATCH,BR19,226.91
PS-26a31a32c8,2024-02-25,2024-01-21,22829.54,KES,CHEQUE,21023,CHQ DEP MBR 21023,SUCCESS,SYSTEM,BR08,202.32
PS-253814e706,2024-03-05,2024-03-19,49650.7,KES,CASH,22905,CASH DEP 22905,SUCCESS,BATCH,BR07,184.5
PS-93e0ea1e45,2024-02-13,2024-03-22,45056.35,KES,MPESA,27924,Mobile payment member 27924,SUCCESS,BATCH,BR18,419.22
PS-52fa4fc895,2024-02-25,2024-03-11,20183.65,KES,CHEQUE,26594,CHQ DEP MBR 26594,SUCCESS,TELLER,BR01,197.5
PS-fbf64659bd,2024-01-26,2024-01-29,33359.29,KES,CHEQUE,23110,Cheque dep member 23110,SUCCESS,BATCH,BR05,93.18
PS-567e067492,2024-01-24,2024-02-29,36688.95,KES,CASH,28856,Cash deposit acc 28856,SUCCESS,BATCH,BR16,168.88
PS-e311328e8e,2024-02-19,2024-01-13,47657.05,KES,MPESA,20324,M-PESA PAY 20324,SUCCESS,TELLER,BR14,383.36
PS-a91adc8004,2024-03-09,2024-03-07,8768.88,KES,CASH,26065,Cash deposit acc 26065,SUCCESS,BATCH,BR09,34.89
PS-0db5e1a978,2024-02-22,2024-01-15,6808.07,KES,CASH,21229,CASH DEP 21229,SUCCESS,BATCH,BR04,32.81
PS-a81185bd94,2024-02-01,2024-03-10,29187.99,KES,MPESA,29722,M-PESA PAY 29722,SUCCESS,SYSTEM,BR12,212.66
PS-0d620377b4,2024-01-20,2024-03-30,33940.07,KES,CASH,22919,CASH DEP 22919,FAILED,SYSTEM,BR12,256.84
PS-1738758876,2024-02-15,2024-03-14,19531.37,KES,CASH,26541,Cash deposit acc 26541,SUCCESS,TELLER,BR11,109.1
PS-3e8c35aa21,2024-01-21,2024-02-13,25607.88,KES,CASH,25047,CASH DEP 25047,SUCCESS,TELLER,BR20,107.11
PS-35ad092ad9,2024-02-08,2024-01-18,32004.87,KES,CASH,27129,Cash deposit acc 27129,SUCCESS,SYSTEM,BR09,224.65
PS-bba408c8b6,2024-02-08,2024-01-09,20894.28,KES,CASH,22338,CASH DEP 22338,SUCCESS,BATCH,BR20,108.04
PS-179c072029,2024-02-28,2024-02-09,690.44,KES,CASH,20353,CASH DEP 20353,SUCCESS,SYSTEM,BR18,3.32
PS-720091b12c,2024-03-06,2024-01-25,20578.59,KES,MPESA,29354,M-PESA PAY 29354,SUCCESS,BATCH,BR10,59.69
PS-43f114e89c,2024-03-21,2024-02-13,14804.28,KES,CHEQUE,27570,Cheque deposit for member 27570,SUCCESS,SYSTEM,BR19,93.14
PS-308f84c6b4,2024-03-15,2024-03-09,49863.45,KES,CHEQUE,28736,Cheque deposit for member 28736,SUCCESS,SYSTEM,BR10,225.8
PS-0e83a6717b,2024-02-20,2024-01-02,33312.63,KES,CHEQUE,29911,CHQ DEP MBR 29911,SUCCESS,TELLER,BR04,289.34
PS-365cacbcc0,2024-01-06,2024-02-20,20224.34,KES,CHEQUE,20514,CHQ DEP MBR 20514,FAILED,SYSTEM,BR18,137.82
PS-eca3ce882d,2024-03-09,2024-02-02,42073.43,KES,CHEQUE,21002,CHQ DEP MBR 21002,SUCCESS,BATCH,BR04,343.38
PS-67fa401398,2024-01-25,2024-03-26,43924.36,KES,CASH,20008,Cash deposit acc 20008,SUCCESS,SYSTEM,BR16,195.07
PS-d3e469869a,2024-03-01,2024-02-03,12229.58,KES,CASH,28861,Cash deposit acc 28861,SUCCESS,BATCH,BR12,65.16
PS-59f760f13d,2024-02-17,2024-01-02,7894.18,KES,CHEQUE,23875,Cheque deposit for member 23875,FAILED,TELLER,BR07,18.69
PS-8fe0aa5db2,2024-01-14,2024-03-16,19823.68,KES,CASH,25651,CASH DEP 25651,SUCCESS,BATCH,BR07,42.39
PS-c8385598fc,2024-03-13,2024-01-25,14992.8,KES,MPESA,25856,MPESA 25856,SUCCESS,BATCH,BR10,81.8
PS-3e7aa5b99b,2024-01-03,2024-03-24,25381.35,KES,CHEQUE,29330,Cheque deposit for member 29330,SUCCESS,BATCH,BR16,83.66
PS-9bc46abb84,2024-02-24,2024-02-17,6093.43,KES,CHEQUE,20572,Cheque dep member 20572,SUCCESS,TELLER,BR02,23.44
PS-249d4e585a,2024-03-17,2024-03-17,47509.85,KES,MPESA,24843,Mobile payment member 24843,SUCCESS,SYSTEM,BR16,199.26
PS-c446340e4f,2024-02-17,2024-01-22,28151.99,KES,MPESA,25618,MPESA 25618,FAILED,TELLER,BR13,88.23
PS-12dae6712c,2024-03-17,2024-02-25,16518.56,KES,CHEQUE,22065,CHQ DEP MBR 22065,SUCCESS,TELLER,BR11,156.26
PS-0853f54e3e,2024-03-18,2024-01-02,46977.57,KES,CHEQUE,22920,CHQ DEP MBR 22920,SUCCESS,TELLER,BR07,444.17
PS-f01e6fcb40,2024-02-09,2024-03-02,39759.85,KES,MPESA,24831,MPESA 24831,SUCCESS,SYSTEM,BR18,171.31
PS-abd258a0b0,2024-02-11,2024-01-22,30065.74,KES,MPESA,25335,Mobile payment member 25335,SUCCESS,TELLER,BR18,114.3
PS-ebb971c779,2024-02-06,2024-02-12,41606.62,KES,MPESA,20100,M-PESA PAY 20100,FAILED,SYSTEM,BR07,117.04
PS-47752308aa,2024-01-17,2024-03-25,664.55,KES,CHEQUE,29763,Cheque deposit for member 29763,SUCCESS,TELLER,BR03,6.27
PS-db64437e44,2024-03-22,2024-02-29,46195.22,KES,CHEQUE,27738,CHQ DEP MBR 27738,SUCCESS,TELLER,BR14,377.84
PS-a55b86afe4,2024-02-14,2024-03-12,27506.1,KES,CASH,28782,CASH DEP 28782,SUCCESS,BATCH,BR11,176.95
PS-df7bb86048,2024-03-28,2024-02-14,29430.57,KES,CHEQUE,22801,Cheque deposit for member 22801,SUCCESS,BATCH,BR11,82.74
PS-4b18352f6f,2024-01-11,2024-02-27,16720.74,KES,CASH,21894,Cash deposit acc 21894,SUCCESS,TELLER,BR11,156.0
PS-ece9832aa4,2024-01-12,2024-02-03,2834.6,KES,CASH,28668,CASH DEP 28668,SUCCESS,SYSTEM,BR10,11.77
PS-d160d8a5f7,2024-01-19,2024-02-08,32112.11,KES,MPESA,23773,MPESA 23773,SUCCESS,BATCH,BR10,93.03
PS-73de930047,2024-03-14,2024-02-28,18142.15,KES,CHEQUE,27557,Cheque deposit for member 27557,SUCCESS,SYSTEM,BR10,159.27
PS-eec0e87193,2024-03-06,2024-03-09,2314.03,KES,CHEQUE,29880,Cheque deposit for member 29880,SUCCESS,TELLER,BR07,6.94
PS-5058421f47,2024-03-29,2024-01-26,4615.72,KES,MPESA,23567,Mobile payment member 23567,SUCCESS,BATCH,BR17,43.15
PS-3b46d45134,2024-03-05,2024-03-09,46848.78,KES,MPESA,22985,Mobile payment member 22985,SUCCESS,BATCH,BR03,225.86
PS-d7d63ac84d,2024-02-06,2024-03-12,27393.6,KES,MPESA,22852,MPESA 22852,SUCCESS,TELLER,BR11,204.74
PS-b891072842,2024-02-22,2024-02-11,6550.24,KES,CHEQUE,25135,Cheque dep member 25135,SUCCESS,TELLER,BR11,51.3
PS-19301d620e,2024-01-14,2024-02-15,2975.13,KES,CASH,27907,CASH DEP 27907,SUCCESS,BATCH,BR16,10.42
PS-89a4bae046,2024-02-26,2024-02-18,25079.92,KES,MPESA,24574,Mobile payment member 24574,SUCCESS,BATCH,BR13,168.31
PS-b742fe7de2,2024-01-18,2024-03-16,11611.95,KES,MPESA,21069,M-PESA PAY 21069,SUCCESS,BATCH,BR09,105.78
PS-d8406fc0c6,2024-03-19,2024-03-16,48597.6,KES,MPESA,27045,M-PESA PAY 27045,SUCCESS,BATCH,BR01,365.26
PS-b42dbcd152,2024-03-02,2024-01-30,26847.17,KES,CHEQUE,21837,Cheque dep member 21837,SUCCESS,TELLER,BR18,248.27
PS-46d09bff4d,2024-03-17,2024-02-22,5212.38,KES,CHEQUE,25576,Cheque dep member 25576,SUCCESS,BATCH,BR10,48.15
PS-8227d12f62,2024-03-06,2024-03-07,15093.05,KES,CASH,22788,CASH DEP 22788,SUCCESS,BATCH,BR20,117.63
PS-b0f7c09fe9,2024-02-17,2024-03-03,22183.0,KES,MPESA,29549,MPESA 29549,SUCCESS,BATCH,BR19,106.22
PS-ab612de009,2024-03-16,2024-01-07,47299.67,KES,CHEQUE,28518,Cheque deposit for member 28518,SUCCESS,TELLER,BR03,261.51
PS-9297e7468f,2024-03-25,2024-03-21,36690.84,KES,MPESA,29565,Mobile payment member 29565,SUCCESS,TELLER,BR10,228.6
PS-89e228a6f2,2024-01-11,2024-02-29,30617.58,KES,CASH,23072,Cash deposit acc 23072,SUCCESS,SYSTEM,BR19,190.84
PS-9cb6f451be,2024-01-27,2024-02-24,40638.82,KES,MPESA,24303,MPESA 24303,SUCCESS,TELLER,BR17,404.73
PS-c826cb6926,2024-03-22,2024-01-04,4608.51,KES,CHEQUE,28574,Cheque deposit for member 28574,SUCCESS,BATCH,BR17,21.82
PS-28eb5b31a0,2024-02-01,2024-03-19,6146.81,KES,CASH,27117,CASH DEP 27117,SUCCESS,BATCH,BR03,25.82
PS-1c224a0b7f,2024-03-20,2024-03-25,1062.15,KES,CASH,25514,Cash deposit acc 25514,SUCCESS,TELLER,BR15,6.1
PS-6440ef5f99,2024-02-24,2024-02-24,16123.33,KES,MPESA,20769,M-PESA PAY 20769,SUCCESS,TELLER,BR08,138.42
PS-67f1698fbf,2024-03-05,2024-03-09,31586.2,KES,CHEQUE,26122,Cheque deposit for member 26122,SUCCESS,BATCH,BR15,306.05
PS-3ab27ee0cb,2024-02-20,2024-01-03,16261.64,KES,CASH,20194,Cash deposit acc 20194,SUCCESS,TELLER,BR19,63.89
PS-2dd9a76efd,2024-03-09,2024-01-17,1016.54,KES,CHEQUE,29576,Cheque dep member 29576,FAILED,SYSTEM,BR10,3.13
PS-3432097a43,2024-01-06,2024-03-14,6502.5,KES,MPESA,25163,Mobile payment member 25163,SUCCESS,BATCH,BR17,30.07
PS-e542154ab1,2024-01-06,2024-02-06,42851.47,KES,CHEQUE,28765,CHQ DEP MBR 28765,SUCCESS,TELLER,BR05,188.32
PS-8af55ffe21,2024-03-30,2024-03-08,20322.82,KES,CHEQUE,27553,CHQ DEP MBR 27553,FAILED,TELLER,BR13,163.81
PS-a5aebefe01,2024-03-06,2024-03-17,4403.86,KES,MPESA,22291,MPESA 22291,SUCCESS,BATCH,BR08,16.17
PS-d79dbb68dc,2024-02-12,2024-03-10,3487.51,KES,CASH,23964,CASH DEP 23964,SUCCESS,SYSTEM,BR03,17.21
PS-b8cbec3e72,2024-02-12,2024-02-19,33450.13,KES,MPESA,24782,MPESA 24782,SUCCESS,TELLER,BR19,197.31
PS-9b3cc66175,2024-01-13,2024-02-18,17662.51,KES,MPESA,23046,MPESA 23046,SUCCESS,TELLER,BR13,170.48
PS-d15f14d670,2024-01-31,2024-03-01,7134.18,KES,CASH,20697,CASH DEP 20697,SUCCESS,TELLER,BR15,15.88
PS-72f755f4d8,2024-03-24,2024-02-18,29927.82,KES,CASH,22595,CASH DEP 22595,FAILED,TELLER,BR11,278.71
PS-09d465f250,2024-02-02,2024-02-02,26301.38,KES,CHEQUE,24833,Cheque deposit for member 24833,SUCCESS,BATCH,BR14,68.71
PS-7c588f2823,2024-02-11,2024-03-22,49959.21,KES,CASH,21717,Cash deposit acc 21717,SUCCESS,SYSTEM,BR18,448.51
PS-61bb736797,2024-02-17,2024-01-16,41497.66,KES,MPESA,24908,Mobile payment member 24908,SUCCESS,TELLER,BR18,264.54
PS-1bcbca53d4,2024-01-19,2024-03-03,49016.4,KES,MPESA,22217,MPESA 22217,SUCCESS,TELLER,BR14,150.7
PS-2006460a0b,2024-02-04,2024-02-28,13533.21,KES,CHEQUE,28341,Cheque deposit for member 28341,SUCCESS,BATCH,BR19,51.96
PS-17503ee5fc,2024-03-14,2024-01-06,46364.97,KES,CHEQUE,25193,CHQ DEP MBR 25193,SUCCESS,SYSTEM,BR13,189.22
PS-9e84741d73,2024-03-13,2024-01-23,48276.91,KES,CASH,29942,Cash deposit acc 29942,FAILED,BATCH,BR18,391.44
PS-ec48af4984,2024-02-10,2024-02-14,25702.8,KES,CASH,24558,Cash deposit acc 24558,SUCCESS,BATCH,BR08,222.31
PS-2fcabede66,2024-03-03,2024-01-16,37556.52,KES,CASH,25384,CASH DEP 25384,SUCCESS,SYSTEM,BR07,81.5
